weekday,date,weight
Sa,01/07/17,925
Su,02/07/17,908
M,03/07/17,897
T,04/07/17,889
W,05/07/17,884
Th,06/07/17,880
F,07/07/17,875
Sa,08/07/17,872
Su,09/07/17,870
W,12/07/17,862
Sa,15/07/17,857
T,18/07/17,853
F,21/07/17,851
Th,27/07/17,846
Sa,29/07/17,844
W,02/08/17,841
Sa,05/08/17,839
Sa,05/08/17,930
Su,06/08/17,917
M,07/08/17,904
T,08/08/17,894
W,09/08/17,887
Th,10/08/17,882
F,11/08/17,878
Sa,12/08/17,874
T,15/08/17,866
Th,17/08/17,862
Sa,19/08/17,858
T,22/08/17,855
Th,24/08/17,850
Sa,26/08/17,848
Tu,29/08/17,846
F,01/09/17,843
M,04/09/17,839
M,04/09/17,934
T,05/09/17,917
W,06/09/17,899
Th,07/09/17,890
F,08/09/17,882
Sa,09/09/17,876
Su,10/09/17,871
M,11/09/17,866
T,12/09/17,863
Th,14/09/17,856
Sa,16/09/17,850
M,18/09/17,846
W,20/09/17,844
M,25/09/17,835
Sa,30/09/17,829
W,04/10/17,826
Sa,07/10/17,826
Sa,07/10/17,919
Su,08/10/17,905
M,09/10/17,891
T,10/10/17,880
W,11/10/17,877
F,13/11/17,871
Su,15/11/17,867
T,17/10/17,863
Th,19/10/17,854
Sa,21/10/17,851
Tu,25/10/17,847
F,27/10/17,843
Tu,31/10/17,841
Sa,04/11/17,839
Sa,04/11/17,937
Su,05/11/17,921
M,06/11/17,909
T,07/11/17,901
W,08/11/17,907
Th,09/11/17,891
F,10/11/17,886
Sa,11/11/17,884
Su,12/11/17,881
Tu,14/11/17,878
Th,16/11/17,873
Sa,18/11/17,870
W,22/11/17,863
Su,26/11/17,858
Sa,02/12/17,852
Sa,02/12/17,958
Su,03/12/17,938
M,04/12/17,924
T,05/12/17,914
W,06/12/17,907
Th,07/12/17,903
F,08/12/17,899
S,09/12/17,895
M,11/12/17,890
W,13/12/17,886
F,15/12/17,883
Su,17/12/17,879
W,20/12/17,874
S,23/12/17,871


